事件,事件A,事件B,关系,年份,实体
王毅就中国外交政策和对外关系答记者问,王毅就中国外交政策和对外关系答记者问。,记者提出了关于中国外交政策和对外关系的相关问题。,顺承,2015,就
王毅：安理会涉朝新决议需完整全面地加以执行,王毅提出安理会涉朝新决议需完整全面地加以执行。,安理会决定采取涉朝新决议。,因果,2015,
郑永年：中国需要什么样的有效供给,郑永年讨论中国需要的有效供给。,中国经济面临供给侧改革的挑战。,因果,2015,中国
罗保铭：海南渔民也参与南海维权,罗保铭提到海南渔民参与南海维权。,南海的维权活动正在进行。,并发,2015,海南南海
三艘中国海军新型坦克登陆舰服役,三艘中国海军新型坦克登陆舰服役。,中国海军的战斗能力得到增强。,因果,2015,中国
美韩举行迄今最大规模的联合军演,美韩举行迄今最大规模的联合军演。,美韩双方增强了军事合作与防御能力。,因果,2015,举行
日自卫队潜艇拟停靠菲港口,日自卫队潜艇拟停靠菲律宾港口。,潜艇停靠菲律宾港口将加强两国的军事合作。,因果,2015,潜艇
专家称中国针对美航母编队的行动符合国际法,专家称中国针对美航母编队的行动符合国际法。,中国采取了针对美航母编队的行动。,因果,2015,中国
韩美联合军演拉开帷幕,韩美联合军演拉开帷幕。,各参与军队开始进行相关军事演习。,顺承,2015,美
专家解读习近平最新对台讲话,习近平发表最新对台讲话。,专家对习近平的讲话进行解读。,顺承,2015,习近平
日媒称欧盟日本首脑会谈或降级,日媒称欧盟日本首脑会谈。,首脑会谈或降级。,因果,2015,日本
多方关注中国军费增幅低于中外舆论预期,中国军费增幅低于中外舆论预期。,多方关注中国军费增幅的情况。,因果,2015,中国
"美韩正式启动""萨德""部署磋商中方表态坚决反对","美韩正式启动""萨德""部署磋商。",中方表态坚决反对。,因果,2015,正式
崔天凯：美国南海炫耀军力导致南海“军事化”,崔天凯指出美国在南海炫耀军力。,南海地区出现“军事化”现象。,因果,2015,：美国南海
美军司令重提恢复海军联盟,美军司令重提恢复海军联盟。,各国海军将进行联合演习。,顺承,2015,
海协会副会长：破坏九二共识两岸商谈可能中断,海协会副会长表示破坏九二共识。,两岸商谈可能中断。,因果,2015,
外交部发言人就朝鲜半岛局势答问,外交部发言人就朝鲜半岛局势进行答问。,公众对朝鲜半岛局势的关注增加。,因果,2015,朝鲜
港媒称中国拟向东海南海部署航母编队,中国拟向东海南海部署航母编队。,港媒对此消息进行报道。,顺承,2015,中国东海南海
日媒称日本潜艇将停靠菲港口,日本潜艇将停靠菲律宾港口。,日本潜艇在菲律宾的停靠引发了媒体的关注。,因果,2015,日本
新华国际时评：制裁有必要无核是目的,新华国际发布时评。,无核化被视为制裁的目的。,因果,2015,
德国学者：若受侵害，中国可退出海洋法公约,中国可能退出海洋法公约。,受侵害的情况下。,条件,2015,中国
专家：世界军事变革迈向深水区,世界军事变革正在进行。,军事变革已经迈向深水区。,顺承,2015,
外媒：中国南部战区司令誓言捍卫南海主权,中国南部战区司令誓言捍卫南海主权。,中国的南海主权受到外媒关注。,因果,2015,中国南海
安倍称有必要全面解禁集体自卫权,安倍称有必要全面解禁集体自卫权。,日本可能会修改相关法律以支持集体自卫权。,因果,2015,称
解放军潜艇救援舰现身斯里兰卡,解放军潜艇救援舰现身斯里兰卡。,斯里兰卡可能接受中国的军事援助或合作。,因果,2015,斯里兰卡
新加坡外长：愿推《南海行为准则》通过,新加坡外长表示愿意推动《南海行为准则》通过。,相关国家之间就《南海行为准则》进行讨论。,因果,2015,南海
美日专家呼吁加强两国军事同盟,美日专家呼吁加强两国军事同盟。,美日两国可能在防卫领域进行更多的合作与交流。,因果,2015,
美印两军将达成后勤支援协议,美军与印军进行谈判。,美印两军将达成后勤支援协议。,顺承,2015,
王毅：中国与东盟关系潜力更大、空间更广、前景更好,王毅表示中国与东盟关系潜力更大。,王毅表示中国与东盟关系空间更广、前景更好。,顺承,2015,中国东盟
专家：增强南海防御的同时中国将增加救援民生设施,中国将增强南海防御。,中国将增加救援民生设施。,并发,2015,南海中国
吴士存：将来大家就明白中国是不是军事化南海,吴士存提到将来会有明确的理解关于中国在南海的军事化情况。,中国是否军事化南海的问题。,因果,2015,吴士存：中国南海
日菲或今天签首个军备合作协议,日菲签订首个军备合作协议。,日本和菲律宾加强军事合作。,因果,2015,
美国专家称东盟是海上丝路中心带,美国专家称东盟是海上丝路中心带。,东盟在国际贸易和经济合作中发挥重要作用。,因果,2015,东盟
金融时报：G20应协力提振全球增长,G20召集会议。,全球增长得到提振。,因果,2015,
中国第一艘万吨级自航式浮船坞首航,中国第一艘万吨级自航式浮船坞首航。,该浮船坞将用于维护和修理大型船舶。,顺承,2015,艘
我国立法通过深海海底区域资源勘探开发法,我国立法通过深海海底区域资源勘探开发法。,相关企业和机构可以根据新法进行深海资源的勘探和开发。,条件,2015,
韩国济州海军基地竣工,韩国济州海军基地竣工。,海军在基地内进行训练和部署。,顺承,2015,韩国济州基地
金砖国家新开发银行总部协定在上海签署,金砖国家新开发银行总部协定在上海签署。,金砖国家合作机制进一步增强。,顺承,2015,上海
外媒称澳大利亚全面复兴海军“防范中国”,澳大利亚全面复兴海军。,外媒称该行为是为了“防范中国”。,因果,2015,澳大利亚中国
日媒称中国未来应积极保护海洋安全,中国未来应积极保护海洋安全。,日媒对此进行了报道。,并发,2015,
王毅：希望菲方“不要在一条道走到黑”,王毅希望菲律宾方面不要“在一条道走到黑”。,菲律宾方面的回应或行动。,条件,2015,
王毅在美国战略与国际问题研究中心发表演讲,王毅在美国战略与国际问题研究中心发表演讲。,王毅阐述了中国在国际事务中的立场与政策。,顺承,2015,美国战略与国际问题研究中心
中新社：王毅访美体现中方开放沟通态度,王毅访美。,中方开放沟通态度得到体现。,因果,2015,王毅
中国在吉布提保障基地动工,中国在吉布提保障基地动工。,吉布提地区的军事合作加强。,因果,2015,在吉布提
中方称中美两军关系“总体稳定”,中方称中美两军关系“总体稳定”。,中美两军可能在未来进行更多交流与合作。,因果,2015,美
外媒称中美就对朝制裁草案达成一致,中美就对朝制裁草案达成一致。,外媒对此进行了报道。,并发,2015,中美朝
王毅：中方不希望南海再出现抵近侦察,王毅表示中方不希望南海再出现抵近侦察。,南海的抵近侦察行为。,因果,2015,南海
G20财长和央行行长会议将在上海召开,G20财长和央行行长会议将在上海召开。,与会各国的财长和央行行长将参与会议。,并发,2015,上海
奥巴马指责中国搞“强权即公理”,奥巴马指责中国搞“强权即公理”。,中国的强权行为引发国际关注。,因果,2015,中国
菲司令称将继续监视中国西沙行动,菲司令称将继续监视中国西沙行动。,菲方继续关注地区安全形势。,顺承,2015,中国西沙
日本监视中国新型渔船作业,日本监视中国新型渔船作业。,中国新型渔船正在进行作业。,并发,2015,中国
“雪龙”号抵达澳大利亚凯西站,“雪龙”号抵达澳大利亚凯西站。,凯西站可能进行科学研究或考察。,因果,2015,澳大利亚
美媒称中国能追踪F-22,中国能追踪F-22。,美媒对此进行报道。,顺承,2015,中国
新媒：美政客竞相辱华以寻求竞选总统提名,美政客竞相辱华。,这些政客寻求竞选总统提名。,因果,2015,
专家：朝鲜半岛核问题打了谁的耳光？,朝鲜半岛核问题引发国际关注。,多个国家对朝鲜表示不满。,因果,2015,朝鲜
王毅提半岛政策三底线反对在韩部署萨德,王毅提半岛政策三底线。,王毅反对在韩部署萨德。,因果,2015,
王毅：朝鲜要为其行为“付出必要代价”,王毅表示朝鲜要为其行为“付出必要代价”。,朝鲜的行为引起了国际社会的关注。,因果,2015,：朝鲜
外媒称美国向东亚派双航母,美国向东亚派遣双航母。,外媒对此进行报道。,因果,2015,美国东亚
韩国防部称中国因素不影响“萨德”部署地点,韩国防部称中国因素不影响“萨德”部署地点。,“萨德”系统的部署地点将继续如计划进行。,因果,2015,
外媒称世界需要适应中国经济“新常态”,外媒称世界需要适应中国经济“新常态”。,中国经济进入了“新常态”。,因果,2015,
菲律宾外交部长称希望菲中关系改善,菲律宾外交部长称希望菲中关系改善。,菲律宾与中国之间的外交关系可能会改善。,因果,2015,称中
日本财务官称中国不会引发全球金融危机,日本财务官称中国不会引发全球金融危机。,全球金融市场保持相对稳定。,因果,2015,中国
郑永年：中国必须警惕和美国的经济战,郑永年提到中国必须警惕和美国的经济战。,经济战可能对中国的经济造成影响。,因果,2015,中国美国
美日韩力推联合国制裁朝鲜,美日韩力推联合国制裁朝鲜。,联合国对朝鲜实施制裁。,顺承,2015,美日韩联合国朝鲜
外媒称中印边防军首次举行联合战术演练,中印边防军首次举行联合战术演练。,外媒对此事件进行了报道。,并发,2015,印
菲律宾总统府证实菲外交部长辞职,菲律宾总统府证实菲外交部长辞职。,菲外交部长的辞职对外交政策产生影响。,因果,2015,
地震超72小时台南遇难人数升至40人,地震发生。,台南遇难人数升至40人。,因果,2015,
外媒：朝鲜挑战国际制裁安理会召开紧急会议,朝鲜挑战国际制裁。,安理会召开紧急会议。,顺承,2015,
朝鲜今早已发射远程导弹,朝鲜今早已发射远程导弹。,国际社会对朝鲜的导弹发射表示关注。,顺承,2015,
中国海军舰艇首次参加印度国际海上阅舰式,中国海军舰艇首次参加印度国际海上阅舰式。,中国海军与其他国家海军进行海上交流与合作。,并发,2015,印度
"中国的海军基地或助吉布提成""非洲的新加坡""",中国的海军基地在吉布提建立。,吉布提被称为“非洲的新加坡”。,因果,2015,中国的吉布提非洲新加坡
海南省委书记罗保铭赴永兴岛慰问调研,海南省委书记罗保铭赴永兴岛慰问。,海南省委书记罗保铭在永兴岛进行调研。,并发,2015,罗保铭永兴岛
外媒称印度海军谋求主导印度洋,印度海军谋求主导印度洋。,外媒发布关于印度海军的消息。,并发,2015,印度印度洋
